Genesis,Gen,创世记,创,chuangshiji,chuang,csj
Exodus,Exo,出埃及记,出,chuaijiji,chu,cajj
Leviticus,Lev,利未记,利,liweiji,li,lwj
Numbers,Num,民数记,民,minshuji,min,msj
Deuteronomy,Deu,申命记,申,shenmingji,shen,smj
Joshua,Jos,约书亚记,书,yueshuyaji,shu,ysyj
Judges,Jug,士师记,士,shishiji,shi,ssj
Ruth,Rut,路得记,得,ludeji,de,ldj
1Samuel,1Sa,撒母耳记上,撒上,samuerjishang,sashang,smejs
2Samuel,2Sa,撒母耳记下,撒下,samuerjixia,saxia,smejx
1Kings,1Ki,列王记上,王上,liewangjishang,wangshang,lwjs
2Kings,2Ki,列王记下,王下,liewangjixia,wangxia,lwjx
1Chronicles,1Ch,历代志上,代上,lidaizhishang,daishang,ldzs
2Chronicles,2Ch,历代志下,代下,lidaizhixia,daixia,ldzx
Ezra,Ezr,以斯拉记,拉,yisilaji,la,yslj
Nehemiah,Neh,尼希米记,尼,niximiji,ni,nxmj
Esther,Est,以斯帖记,斯,yisitieji,si,ystj
Job,Job,约伯记,伯,yueboji,bo,ybj
Psalm,Psm,诗篇,诗,shipian,shi,sp
Proverbs,Pro,箴言,箴,zhenyan,zhen,zy
Ecclesiastes,Ecc,传道书,传,chuandaoshu,chuan,cds
SongofSolomon,Son,雅歌,歌,yage,ge,yg
Isaiah,Isa,以赛亚书,赛,yisaiyashu,sai,ysys
Jeremiah,Jer,耶利米书,耶,yelimishu,ye,ylms
Lamentations,Lam,耶利米哀歌,哀,yelimiaige,ai,ylmag
Ezekiel,Eze,以西结书,结,yixijieshu,jie,yxjs
Daniel,Dan,但以理书,但,danyilishu,dan,dyls
Hosea,Hos,何西阿书,何,hexiashu,he,hxas
Joel,Joe,约珥书,珥,yueershu,er,yes
Amos,Amo,阿摩司书,摩,amosishu,mo,amss
Obadiah,Oba,俄巴底亚书,俄,ebadiyashu,e,ebdys
Jonah,Jon,约拿书,拿,yuenashu,na,yns
Micah,Mic,弥迦书,弥,mijiashu,mi,mjs
Nahum,Nah,那鸿书,鸿,nahongshu,hong,nhs
Habakkuk,Hab,哈巴谷书,哈,habagushu,ha,hbgs
Zephaniah,Zep,西番雅书,番,xifanyashu,fan,xfys
Haggai,Hag,哈该书,该,hagaishu,gai,hgs
Zechariah,Zec,撒迦利亚书,亚,sajialiyashu,ya,sjlys
Malachi,Mal,玛拉基书,玛,malajishu,ma,mljs
Matthew,Mat,马太福音,太,mataifuyin,tai,mtfy
Mark,Mak,马可福音,可,makefuyin,ke,mkfy
Luke,Luk,路加福音,路,lujiafuyin,lu,ljfy
John,Jhn,约翰福音,约,yuehanfuyin,yue,yhfy
Acts,Act,使徒行传,徒,shituxingzhuan,tu,stxz
Romans,Rom,罗马书,罗,luomashu,luo,lms
1Corinthians,1Co,哥林多前书,林前,gelinduoqianshu,linqian,gldqs
2Corinthians,2Co,哥林多后书,林后,gelinduohoushu,linhou,gldhs
Galatians,Gal,加拉太书,加,jialataishu,jia,jlts
Ephesians,Eph,以弗所书,弗,yifusuoshu,fu,yfss
Philippians,Phl,腓立比书,腓,feilibishu,fei,flbs
Colossians,Col,歌罗西书,西,geluoxishu,xi,glxs
1Thessalonians,1Ts,帖撒罗尼迦前书,帖前,tiesaluonijiaqianshu,tieqian,tslnjqs
2Thessalonians,2Ts,帖撒罗尼迦后书,帖后,tiesaluonijiahoushu,tiehou,tslnjhs
1Timothy,1Ti,提摩太前书,提前,timotaiqianshu,tiqian,tmtqs
2Timothy,2Ti,提摩太后书,提后,timotaihoushu,tihou,tmths
Titus,Tit,提多书,多,tiduoshu,duo,tds
Philemon,Phm,腓利门书,门,feilimenshu,men,flms
Hebrews,Heb,希伯来书,来,xibolaishu,lai,xbls
James,Jas,雅各书,雅,yageshu,ya,ygs
1Peter,1Pe,彼得前书,彼前,bideqianshu,biqian,bdqs
2Peter,2Pe,彼得后书,彼后,bidehoushu,bihou,bdhs
1John,1Jn,约翰一书,约一,yuehanyishu,yueyi,yhys
2John,2Jn,约翰二书,约二,yuehanershu,yueer,yhes
3John,3Jn,约翰三书,约三,yuehansanshu,yuesan,yhss
Jude,Jud,犹大书,犹,youdashu,you,yds
Revelation,Rev,启示录,启,qishilu,qi,qsl
